"nazivparka","datumosnutka","drzava","lokacija","wikipediastranica","prosjbrposjetiteljagodisnje","povrsina","nativnavrsta","sluzbenastranica","klima"
"Yellowstone","1872-03-01","Sjedinjene Američke Države","Wyoming","https://en.wikipedia.org/wiki/Yellowstone_National_Park",4020288,8983.18,"Abronia ammophila","https://www.nps.gov/yell/index.htm","subartička"
"Yellowstone","1872-03-01","Sjedinjene Američke Države","Wyoming","https://en.wikipedia.org/wiki/Yellowstone_National_Park",4020288,8983.18,"Bison bison bison","https://www.nps.gov/yell/index.htm","subartička"
"Yosemite","1890-10-01","Sjedinjene Američke Države","California","https://en.wikipedia.org/wiki/Yosemite_National_Park",4422861,3028.81,"Sorex lyelli","https://www.nps.gov/yose/index.htm","mediteranska"
"Yosemite","1890-10-01","Sjedinjene Američke Države","California","https://en.wikipedia.org/wiki/Yosemite_National_Park",4422861,3028.81,"Ovis canadensis sierrae","https://www.nps.gov/yose/index.htm","mediteranska"
"Grand Canyon","1919-02-26","Sjedinjene Američke Države","Arizona","https://en.wikipedia.org/wiki/Grand_Canyon_National_Park",5974411,4926.08,"Gila cypha","https://www.nps.gov/grca/index.htm","mediteranska"
"Grand Canyon","1919-02-26","Sjedinjene Američke Države","Arizona","https://en.wikipedia.org/wiki/Grand_Canyon_National_Park",5974411,4926.08,"Oxyloma haydeni kanabensis","https://www.nps.gov/grca/index.htm","mediteranska"
"Grand Canyon","1919-02-26","Sjedinjene Američke Države","Arizona","https://en.wikipedia.org/wiki/Grand_Canyon_National_Park",5974411,4926.08,"Papilio indra","https://www.nps.gov/grca/index.htm","mediteranska"
"Plitvička jezera","1949-04-08","Hrvatska","Ličko-senjska županija","https://en.wikipedia.org/wiki/Plitvice_Lakes_National_Park",1367304,296.85,"Edraianthus tenuifolius","https://np-plitvicka-jezera.hr","umjerena planinska"
"Plitvička jezera","1949-04-08","Hrvatska","Ličko-senjska županija","https://en.wikipedia.org/wiki/Plitvice_Lakes_National_Park",1367304,296.85,"Ranunculus scutatus","https://np-plitvicka-jezera.hr","umjerena planinska"
"Plitvička jezera","1949-04-08","Hrvatska","Ličko-senjska županija","https://en.wikipedia.org/wiki/Plitvice_Lakes_National_Park",1367304,296.85,"Scilla litardierei","https://np-plitvicka-jezera.hr","umjerena planinska"
"Serengeti","1951-01-01","Tanzanija","Mara","https://en.wikipedia.org/wiki/Serengeti_National_Park",350000,14750.00,"Panthera pardus pardus","https://www.serengeti.com/","subtropska"
"Serengeti","1951-01-01","Tanzanija","Mara","https://en.wikipedia.org/wiki/Serengeti_National_Park",350000,14750.00,"Loxodonta africana","https://www.serengeti.com/","subtropska"
"Serengeti","1951-01-01","Tanzanija","Mara","https://en.wikipedia.org/wiki/Serengeti_National_Park",350000,14750.00,"Diceros bicornis michaeli","https://www.serengeti.com/","subtropska"
"Göreme","1985-01-01","Turska","Nevsehir","https://en.wikipedia.org/wiki/G%C3%B6reme_National_Park",509131,100.00,"Canis lupus","https://www.ktb.gov.tr/EN-99801/nevsehir---goreme-national-park.html","Anatolijska kontinentalna"
"Göreme","1985-01-01","Turska","Nevsehir","https://en.wikipedia.org/wiki/G%C3%B6reme_National_Park",509131,100.00,"Lutra lutra","https://www.ktb.gov.tr/EN-99801/nevsehir---goreme-national-park.html","Anatolijska kontinentalna"
"Göreme","1985-01-01","Turska","Nevsehir","https://en.wikipedia.org/wiki/G%C3%B6reme_National_Park",509131,100.00,"Martes foina","https://www.ktb.gov.tr/EN-99801/nevsehir---goreme-national-park.html","Anatolijska kontinentalna"
"Fuji-Hakone-Izu","1936-02-01","Japan","Honshu","https://en.wikipedia.org/wiki/Fuji-Hakone-Izu_National_Park",6000000,1227.00,"Cirsium purpuratum","https://www.fujihakoneizu.com","umjereno topla vlažna klima s toplim ljetom"
"Fuji-Hakone-Izu","1936-02-01","Japan","Honshu","https://en.wikipedia.org/wiki/Fuji-Hakone-Izu_National_Park",6000000,1227.00,"Rosa hirtula","https://www.fujihakoneizu.com","umjereno topla vlažna klima s toplim ljetom"
"Fuji-Hakone-Izu","1936-02-01","Japan","Honshu","https://en.wikipedia.org/wiki/Fuji-Hakone-Izu_National_Park",6000000,1227.00,"Onychodactylus japonicus","https://www.fujihakoneizu.com","umjereno topla vlažna klima s toplim ljetom"
"Lake District","1951-05-09","Ujedinjeno Kraljevstvo","North West England","https://en.wikipedia.org/wiki/Lake_District_National_Park",16400000,2362.00,"Coregonus vandesius","https://www.lakedistrict.gov.uk","umjereno topla vlažna klima s toplim ljetom"
"Lake District","1951-05-09","Ujedinjeno Kraljevstvo","North West England","https://en.wikipedia.org/wiki/Lake_District_National_Park",16400000,2362.00,"Coregonus lavaretus","https://www.lakedistrict.gov.uk","umjereno topla vlažna klima s toplim ljetom"
"Lake District","1951-05-09","Ujedinjeno Kraljevstvo","North West England","https://en.wikipedia.org/wiki/Lake_District_National_Park",16400000,2362.00,"Salvelinus alpinus","https://www.lakedistrict.gov.uk","umjereno topla vlažna klima s toplim ljetom"
"Fiordland","1952-01-01","Novi Zeland","Southland","https://en.wikipedia.org/wiki/Fiordland_National_Park",500000,12607.00,"Apteryx owenii","https://www.newzealand.com/uk/feature/national-parks-fiordland/","umjerna topla vlažna klima"
"Fiordland","1952-01-01","Novi Zeland","Southland","https://en.wikipedia.org/wiki/Fiordland_National_Park",500000,12607.00,"Hadramphus spinipennis","https://www.newzealand.com/uk/feature/national-parks-fiordland/","umjerna topla vlažna klima"
"Fiordland","1952-01-01","Novi Zeland","Southland","https://en.wikipedia.org/wiki/Fiordland_National_Park",500000,12607.00,"Oligosoma acrinasum","https://www.newzealand.com/uk/feature/national-parks-fiordland/","umjerna topla vlažna klima"
"Iguazú","1934-01-01","Argentina","Misiones","https://en.wikipedia.org/wiki/Iguaz%C3%BA_National_Park",1000000,677.00,"Tapirus terrestris","https://iguazufalls.com/national-park/","vlažna subtropska"
"Iguazú","1934-01-01","Argentina","Misiones","https://en.wikipedia.org/wiki/Iguaz%C3%BA_National_Park",1000000,677.00,"Leopardus pardalis","https://iguazufalls.com/national-park/","vlažna subtropska"
"Iguazú","1934-01-01","Argentina","Misiones","https://en.wikipedia.org/wiki/Iguaz%C3%BA_National_Park",1000000,677.00,"Brotogeris tirica","https://iguazufalls.com/national-park/","vlažna subtropska"
